C,Mn,S,P,Si,Ni,Cr,Cu,Ti,Co,N,Pb,Sn,Al,B,V,Ca,Nb,CAPL MAIN DEFECT
80,3200,20,370,5200,2000,172600,1300,3100,500,103,39,94,387,6,490,8,30,Inclusion Free
75,4000,20,340,4800,700,113500,600,2400,300,107,30,53,320,4,280,11,30,Spinel Inclusion
87,4500,17,330,3800,1900,171400,600,4000,400,120,60,69,345,3,410,11,120,Inclusion Free
80,3900,28,360,4900,2000,175900,700,1300,500,91,40,72,310,5,410,10,3500,Casting Powder Inclusion
80,2800,20,320,3600,1900,178100,400,1500,600,110,35,39,245,4,390,10,3600,SLIVER C-BODY
90,3700,20,300,3400,1800,179700,900,1900,500,125,49,64,380,5,410,12,3500,Inclusion Free
78,3800,21,300,4800,1800,113400,1000,2000,300,89,40,62,285,3,310,9,40,Spinel Inclusion
80,2800,10,330,2800,1400,173400,100,2800,500,116,45,34,280,2,480,10,50,Spinel Inclusion
77,4100,10,340,5200,1600,113800,1800,2100,400,90,36,99,202,4,350,9,40,Spinel Inclusion
109,2600,20,400,5500,1600,116400,1200,2100,300,84,30,108,350,5,280,9,30,Spinel Inclusion
80,3000,13,310,5700,1600,172000,500,2800,400,112,48,50,248,5,380,5,10,Inclusion Free
90,2600,20,350,3100,1300,171600,400,3100,500,115,35,44,350,2,440,16,60,HOLE
80,2300,20,320,4400,1400,114500,1500,2400,400,85,20,58,320,3,310,8,40,Spinel Inclusion
80,3800,10,320,5000,1800,113800,1000,1800,300,85,40,88,210,4,310,7,50,SLIVER C-EDGE
69,3100,20,320,4800,1800,114000,1200,2200,300,73,36,78,230,4,280,11,30,SLIVER C-BODY
82,3400,27,320,4000,1900,171400,500,3400,400,106,46,106,250,5,380,12,20,Inclusion Free
95,2800,20,300,3700,2000,177100,700,1300,500,160,25,53,250,3,390,11,3500,Inclusion Free
75,3500,20,320,5300,1300,173200,600,3200,500,102,34,51,340,3,520,7,30,Inclusion Free
80,3100,20,360,4900,1200,112000,700,2400,300,80,46,52,280,3,260,9,50,Spinel Inclusion
70,3000,12,380,4700,2700,113300,1400,2100,300,90,42,91,260,2,310,12,20,SLIVER C-BODY
80,2600,20,330,4100,1400,172800,500,2900,500,99,37,49,310,4,520,8,20,Inclusion Free
78,3700,20,400,5700,1000,112800,400,2400,300,77,54,273,240,3,270,10,40,SLIVER C-BODY
62,3000,14,320,4000,1700,172300,400,2850,400,100,43,67,330,13,540,10,30,Inclusion Free
78,2600,30,330,3700,1600,178000,600,1400,500,106,36,79,205,4,390,8,3700,Spinel Inclusion
90,2700,20,310,3800,1500,173000,200,3700,500,125,39,48,150,4,440,8,70,SLIVER C-BODY
80,5100,18,300,4400,1400,114800,1000,2100,300,80,45,51,280,4,360,10,70,Spinel Inclusion
80,2900,20,330,3200,1700,176800,300,1600,500,137,30,53,225,4,360,12,3600,Spinel Inclusion
100,2700,20,320,3600,1600,173500,200,3300,500,122,38,43,300,2,460,11,80,Spinel Inclusion
82,3000,20,350,4300,1800,174000,1300,3100,500,94,40,84,320,23,530,10,100,Inclusion Free
100,3800,20,350,4500,1500,172200,1000,2900,500,112,40,73,390,5,630,10,50,Inclusion Free
78,2300,20,350,4000,1600,172000,500,3100,500,110,40,112,310,2,430,8,30,Inclusion Free
80,2200,20,320,5100,1300,113800,700,2500,400,73,30,64,256,2,250,9,40,HOLE
66,2700,18,300,4400,2200,113500,1400,2400,300,77,43,95,350,5,280,12,30,Inclusion Free
75,3500,20,320,5300,1300,173200,600,3200,500,102,34,51,340,3,520,7,30,Inclusion Free
78,3400,20,360,4100,1700,172000,1200,3100,500,108,40,90,446,6,560,9,80,Inclusion Free
100,2900,20,360,4800,800,113000,600,2500,300,97,39,78,270,3,200,6,60,Spinel Inclusion
67,3300,10,330,4300,1800,112000,1200,2400,300,72,36,88,350,5,280,8,30,Casting Powder Inclusion
80,2900,10,350,5200,800,112800,900,2900,300,76,25,50,335,1,300,8,40,Spinel Inclusion
70,2300,10,370,4700,1300,112200,1000,2300,300,98,22,75,280,2,240,10,20,HOLE
79,2700,20,290,4600,1200,113900,800,2300,300,80,35,74,450,5,280,8,20,Casting Powder Inclusion
80,2800,10,330,3200,1500,174000,200,3300,500,118,37,41,265,2,430,7,40,Spinel Inclusion
78,3500,19,330,4200,1300,113100,600,2300,300,85,50,56,300,6,260,14,50,SLIVER C-BODY
80,2900,20,330,3400,1900,173100,500,3000,500,122,50,71,315,2,440,7,80,Spinel Inclusion
76,2500,20,350,5600,1400,112800,1100,2100,300,76,44,52,262,3,310,8,30,HOLE
80,2600,20,300,5200,1200,112000,500,2300,300,75,42,45,427,5,300,14,30,HOLE
75,2900,20,340,6100,1900,111700,900,2400,300,88,48,98,380,4,250,10,40,HOLE
78,3300,20,300,4200,1100,112100,900,2300,300,80,33,81,360,6,400,8,30,Spinel Inclusion
75,3000,19,330,5100,2100,113600,1400,2200,300,77,54,112,285,2,330,12,30,TI STREAKS
80,3500,25,370,3900,2000,174000,900,3100,400,106,40,89,360,5,460,11,30,Inclusion Free
82,3000,20,350,4300,1800,174000,1300,3100,500,94,40,84,320,23,530,10,100,Inclusion Free
75,3500,30,350,3700,2000,174000,700,3000,400,105,38,85,468,6,470,10,30,Inclusion Free
70,2800,20,340,5500,1500,171500,900,2700,500,95,38,71,210,6,560,10,30,Inclusion Free
75,3200,15,260,4700,1300,113700,600,2200,300,86,55,80,380,7,270,12,30,Spinel Inclusion
76,3200,20,340,3900,1900,172600,1000,3500,500,102,30,78,500,4,560,10,20,Inclusion Free
87,3500,20,320,5000,1300,113500,800,2350,300,80,32,96,250,5,430,8,40,Spinel Inclusion
70,3000,12,380,4700,2700,113300,1400,2100,300,90,42,91,260,2,310,12,20,TI STREAKS
80,2700,10,340,3000,1400,172800,200,3400,500,120,40,34,265,2,420,11,40,SLIVER C-EDGE
70,3000,20,310,4500,1500,113800,600,2500,300,85,48,91,310,4,280,9,10,Spinel Inclusion
95,3500,18,330,4300,1700,171500,1200,3100,400,92,40,81,355,25,540,11,40,Inclusion Free
70,2800,20,340,5500,1500,171500,900,2700,500,95,38,71,210,6,560,10,30,Inclusion Free
88,3300,30,340,2000,2100,177000,800,3200,400,125,52,145,295,3,450,4,20,Inclusion Free
100,2700,13,340,3300,2000,171700,500,3100,400,106,48,116,282,5,410,10,30,Inclusion Free
110,3600,15,320,3700,1600,174600,800,3100,500,110,38,83,275,2,500,10,40,Inclusion Free
78,3300,10,320,4500,1100,112600,500,2300,300,71,43,118,155,4,280,9,80,SLAB EDGE
88,2800,24,350,4400,1600,173000,1100,3250,600,96,29,74,240,4,530,8,30,SLIVER C-EDGE
90,2800,20,350,4400,1600,173000,1100,3250,600,96,29,74,240,4,530,10,30,SLIVER C-EDGE
80,3500,20,330,3200,1800,172200,1000,3450,500,110,42,75,340,3,410,10,40,SLIVER C-EDGE
75,4800,12,320,4800,1900,114000,900,2100,300,80,43,81,200,4,320,5,100,Spinel Inclusion
86,3200,20,350,4400,1100,113600,800,2100,300,77,40,95,275,3,220,9,50,Spinel Inclusion
70,3400,22,370,4500,1900,172400,1400,3300,500,102,38,109,430,6,530,9,50,Inclusion Free
66,3000,18,350,3900,1600,174000,300,3100,400,100,40,70,370,20,500,10,20,Inclusion Free
84,3400,20,340,3900,2000,171600,500,2900,400,115,48,71,266,5,410,10,20,Inclusion Free
70,3300,20,350,4500,800,112000,900,2300,300,77,25,44,320,1,280,13,50,Spinel Inclusion
90,2800,20,350,4400,1600,173000,1100,3250,600,96,29,74,240,4,530,10,30,Inclusion Free
79,3000,14,290,5200,1700,112000,1500,2400,300,89,50,103,320,4,300,12,20,SLAB EDGE
86,3500,15,320,4400,1100,113300,700,2500,300,74,42,50,315,4,290,10,20,SLIVER C-BODY
72,2700,10,330,5800,1100,111900,500,2500,400,90,24,43,355,5,320,5,70,Spinel Inclusion
70,3300,26,320,3300,1700,172400,500,3300,400,118,43,51,360,5,420,8,20,Inclusion Free
87,3500,20,320,5000,1300,113500,800,2350,300,80,32,96,250,5,430,8,40,Spinel Inclusion
70,3800,20,300,4400,1000,113800,700,2300,300,80,42,53,550,6,380,7,40,Casting Powder Inclusion
70,4300,20,290,4500,1600,112200,400,2150,300,80,41,42,350,6,390,11,30,Spinel Inclusion
98,3200,30,360,3400,1600,178200,400,1400,400,120,51,47,200,4,410,17,3700,Spinel Inclusion
66,3000,18,350,3900,1600,174000,300,3100,400,100,40,70,370,20,500,10,20,SLIVER C-BODY
66,2800,20,330,4100,1700,114000,1300,2400,300,70,42,74,330,5,250,10,30,Casting Powder Inclusion
75,3800,20,340,3100,1600,171200,400,3000,500,125,44,54,360,6,450,8,20,Spinel Inclusion
120,3700,20,350,4800,1500,171600,700,3400,500,112,31,54,390,3,560,10,20,SLIVER C-BODY
80,3400,20,330,3400,1600,179800,300,1400,500,110,33,40,213,3,370,5,3500,HOLE
100,2600,24,350,3700,1400,172200,600,3200,500,110,35,53,375,3,570,10,20,SLIVER C-BODY
100,2600,20,350,4400,1700,172500,800,3000,500,105,36,85,278,2,360,6,30,Spinel Inclusion
105,2800,10,350,3000,1400,171400,100,3000,600,111,40,29,308,2,350,10,40,SLIVER C-BODY
98,3000,20,350,3200,1800,176600,500,1600,500,138,34,55,230,2,380,12,3600,Inclusion Free
87,3500,30,370,4100,2100,171200,900,2750,400,100,37,85,295,6,460,12,30,Inclusion Free
100,2700,13,340,3300,2000,171700,500,3100,400,106,48,116,282,5,410,10,30,Inclusion Free
87,3500,30,370,4100,2100,171200,900,2750,400,100,37,85,295,6,460,12,30,Casting Powder Inclusion
78,2300,20,350,4000,1600,172000,500,3100,500,110,40,112,310,2,430,8,30,Inclusion Free
80,4000,18,300,5100,1400,113000,900,2000,300,80,50,70,210,5,280,10,50,HOLE
70,2500,10,350,5000,1300,112300,1400,2300,400,75,27,78,220,2,220,6,20,HOLE
65,2900,16,290,4300,1800,173300,400,3000,400,100,44,122,220,4,410,14,30,Inclusion Free
80,2900,20,340,4500,1400,174000,900,3000,500,103,40,60,287,4,580,10,30,Inclusion Free
72,3000,17,310,3000,2000,173600,400,3300,400,110,47,85,248,5,380,12,30,Inclusion Free
80,3200,20,370,5200,2000,172600,1300,3100,500,103,39,94,387,6,490,8,30,Inclusion Free
